host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,header_count_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
471,가은채2 [한국관광 품질인증/Korea Quality],"Night car page stuff. Instead adult anything charge.
Prove financial goal soldier shake such before. Run goal kid a ever while personal.",전라북도 전주시 완산구 한지길 100-20,127.1535029304,127.1535029304,2,2,5,10,3500,85800,10,3,500,2.44,260
346,가을동화펜션,Strong than end full write. Reality there center think everything force fund keep.,강원도 평창군 봉평면 흥정계곡길 72,128.3519002081,128.3519002081,1,2,4,10,3100,121800,10,1,3600,4.64,101
425,가재와곰펜션 [한국관광 품질인증/Korea Quality],"Pull loss piece trade institution free. Food course offer rise.
Large phone deep contain. Lay far step wait arm media make.
Answer score wrong entire.",강원도 평창군 봉평면 흥정계곡4길 212-27,128.3109751158,128.3109751158,3,1,4,4,4700,655600,10,6,700,4.56,131
104,가족사랑바다체험펜션,"Eye stage office control development top. Step news young minute.
Share have sign skill kitchen model she. Military process sister represent. Remember statement want perhaps fire education.",경상남도 남해군 삼동면 죽방로 495,127.9675765215,127.9675765215,3,1,5,5,6300,108100,10,7,1800,4.05,350
292,가평 하이랜드,Improve rest you author performance involve central. Drop drop matter early ground our sometimes. Wall when well future organization development bank sing.,경기도 가평군 북면 가화로 2369-19,127.4766116592,127.4766116592,2,3,1,7,7700,137200,10,9,3100,1.73,126
348,가평미라몬티풀빌라펜션 [한국관광 품질인증/Korea Quality],"Miss his discussion day again. Plan evening good.
Current country fund boy modern address throughout. Care activity check reason myself style land.",경기도 가평군 가화로 1364-59,127.5134792182,127.5134792182,1,2,1,6,5800,910600,10,7,4900,3.97,24
70,갈모봉 힐링스테이,Security officer recognize billion throw improve. Form involve use blood.,경상남도 고성군 고성읍 이당5길 149-21,128.2677822725,128.2677822725,1,2,5,6,8000,202900,10,3,5000,3.74,63
157,갈천훼밀리리조트[한국관광 품질인증/Korea Quality],"Political candidate sing game production summer mention. Well provide box wife.
May ready sort growth sense. Friend such item against. Training he film what social enter maybe.",강원도 양양군 서면 구룡령로 1103-25,128.5042112321,128.5042112321,2,3,5,3,4600,952700,10,10,2100,3.27,480
271,강가에 하얀집 펜션,Behind myself firm as. Wear civil condition road west future. Include take mind himself black upon suddenly.,강원도 영월군 영월읍 선돌길 83-9,128.4347977723,128.4347977723,1,3,1,3,7500,461500,10,8,500,1.26,91
457,강가의성,Whatever another while research experience shake ready. Kitchen read represent box may government table. Hundred system commercial bar.,강원도 홍천군 북방면 굴지강변로 281,127.7832358849,127.7832358849,2,2,1,2,2800,264300,10,5,4700,3.87,307
141,강과 소나무[한국관광 품질인증/Korea Quality],"Charge already senior play. Trouble we sort entire event.
Listen force quality during light moment. Television stay sure figure professional interesting argue condition. Face necessary political.",강원도 정선군 북평면 졸드루길 31-57,128.6366687230,128.6366687230,1,3,2,5,8000,545800,10,3,1900,1.92,118
151,강구안게스트하우스,North up activity face less just. We name image mother new book sort finally. Source of too approach south moment toward.,경상남도 통영시 동충4길 56,128.4241610409,128.4241610409,3,1,4,3,4800,886100,10,1,600,1.74,178
222,강남스테이힐(Gangnam Stay Hill),"Customer certainly big ahead season drug. Letter reason term information measure.
Particularly church entire. Indeed wrong last street. For center mind.",서울특별시 강남구 테헤란로13길 65,127.0301236613,127.0301236613,1,3,1,6,5300,619800,10,7,3300,3.72,57
369,강남아르누보씨티호텔[한국관광 품질인증/Korea Quality],International understand dog. Consider industry too detail.,서울특별시 서초구 서초대로74길 49,127.0282157821,127.0282157821,1,3,2,3,10000,81800,10,4,4100,4.58,329
485,강령전,Whether involve term population action hard. Difference though seat side serious cultural.,전라북도 전주시 완산구 태조로 26-24,127.1519253061,127.1519253061,2,1,1,7,2800,322000,10,9,2600,3.46,302
160,강릉 지중해펜션,Training indicate continue may activity upon. Maybe scene boy various economy go six whole. Story Republican play policy impact raise upon. Cut standard billion physical.,강원도 강릉시 사천면 해안로 904-22,128.8758521976,128.8758521976,1,3,2,8,9000,899500,10,2,1100,1.13,143
221,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],"I consider over pull bring certainly beat. Speech consider throw trouble allow his. Enter hour onto perhaps should perhaps require five.
Theory leg science process. Name gun enter PM sign focus join.",강원도 강릉시 용지각길 19,128.9056239515,128.9056239515,1,1,5,10,7300,956700,10,5,2100,2.3,469
101,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],"Camera though until. South buy north medical. Cultural sing all her. Stand whether personal mission however it arm.
Never responsibility also level. Song heart note drop chair budget.",강원도 강릉시 경강로2103번길 17,128.8954528054,128.8954528054,3,3,4,9,9100,552100,10,5,3700,2.46,74
255,강릉선교장[한국관광 품질인증/Korea Quality],"Once phone yard yet visit response size trouble. Huge size to professor past month.
Set wonder mention raise nothing human less. Smile network majority control.
Series response history admit.",강원도 강릉시 운정길 63,128.8846278304,128.8846278304,2,2,1,7,8800,543200,10,4,2600,3.12,378
499,강릉시 청소년 해양수련원,"Later interview final provide born determine meet west. Difficult true blood.
Since design identify decision end camera top. Many wide require.",강원도 강릉시 주문진읍 동해대로 4940,128.8123942726,128.8123942726,2,3,3,2,7000,728600,10,8,700,1.6,355
266,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],"Maybe they fund second cost act. Too interest top firm fine speech. See significant campaign story successful.
Discuss we themselves nation both fall. Chance site pattern government organization.",강원도 강릉시 죽헌길 114,128.8795480296,128.8795480296,3,3,3,5,7100,10100,10,8,2200,4.44,253
263,강변에서 황토콘도,"Get there view man station. Pretty author level industry participant manage.
Step guy mother piece. Them mean wish heavy good spend.
Likely line still.",강원도 인제군 인제읍 내린천로 5384,128.2720847253,128.2720847253,2,1,5,9,8200,94900,10,6,4500,2.74,177
194,강변의수채화 펜션,"Throughout road result get why attack.
Arrive can what policy describe. Push hundred write. Family government couple our difference drive affect.",강원도 홍천군 북방면 노일로310번길 15,127.7311991032,127.7311991032,2,3,3,3,6600,484500,10,5,2600,2.99,205
352,강애산애펜션,Pm gas address loss in seem animal. Pay evidence firm sure appear. Tend through agreement lose look adult employee simply.,강원도 평창군 봉평면 흥정계곡1길 23,128.3483697556,128.3483697556,1,1,4,4,3000,234700,10,4,2800,4.54,362
464,강원도개발공사알펜시아타운,Deep hair less have develop. Leader near somebody lose peace. See design memory walk himself pay. Relationship speech help central first world.,강원도 평창군 대관령면 솔봉로 325,128.6743702048,128.6743702048,3,1,3,7,5300,974900,10,5,1900,1.69,46
110,강원도치악청소년수련원,"After almost exactly various group film theory. Answer herself factor line describe tax.
Course cut form activity culture how see. Second decide where report job cost.",강원도 원주시 소초면 구룡사로 65,128.0599796068,128.0599796068,3,3,5,7,9600,143600,10,6,800,3.14,254
266,강이 있는 풍경 (강이 있는 풍경 펜션),"Want set notice conference finish tonight. Truth sometimes machine she.
Book vote professional again left. Past result policy our her decade bill. Country offer represent away everyone indicate.",경상북도 문경시 마성면 구랑로 333,128.1204936198,128.1204936198,3,1,3,1,9700,174300,10,3,2700,2.45,358
146,강이흐르는마을 펜션,"Language election leave get baby. News sort development reveal if up.
Example clearly live cut national property. Life world truth. You travel task wall.",강원도 정선군 정선읍 군언길 129,128.6109401719,128.6109401719,1,3,4,3,9600,556600,10,9,1900,3.1,55
178,강진달빛한옥마을,"Rate herself any central TV raise skin. Offer article country gun.
Bring also beat image they cell money him. Ball interesting everybody chance color final these. Myself cup bed.",전라남도 강진군 성전면 달빛한옥길 2,126.7166521168,126.7166521168,1,3,3,1,10000,307300,10,6,1300,2.66,236
398,강천각모텔,Per institution off the section fill door ten. Financial class continue people. Level yeah join institution. Debate husband effect provide discuss contain relationship.,전라북도 순창군 팔덕면 강천산길 85,127.0688154117,127.0688154117,3,3,2,4,7000,540500,10,5,4300,3.81,182
310,강촌 느티나무마을펜션,Too middle part training doctor job hair. Kid writer special wide course question minute. Know social deep work already ground test year.,강원도 춘천시 남산면 강촌로 80-1,127.6345597418,127.6345597418,2,1,4,3,7500,430700,10,8,2400,3.67,335
31,강촌 센스무인텔,"Network staff material keep. Season crime face sign.
The treat data approach together. Someone offer manage better than industry. Central time nature throughout.",강원도 춘천시 남산면 보매기길 38,127.6428153341,127.6428153341,1,1,3,5,2700,90700,10,3,2300,2.25,463
159,강촌w펜션,"Team near easy get early.
Of simply owner PM. Various pressure others rich skin financial budget great.",강원도 춘천시 남산면 강촌로 143,127.6372818657,127.6372818657,1,1,5,6,4000,105800,10,4,900,2.82,246
171,강현재 [한국관광 품질인증/Korea Quality],Care person front after hotel eye. Accept party land year meeting cell. When next own attorney bar.,전라남도 보성군 가내길 31-1,127.2043734140,127.2043734140,1,1,4,7,6200,67400,10,5,1200,1.06,71
190,강화유스호스텔,Onto behavior if activity talk. Two catch bad understand threat cold mother. Rich beautiful lawyer war play mouth choose various. Congress level response fill itself.,인천광역시 강화군 내가면 해안서로 972,126.3745584698,126.3745584698,3,1,3,6,5000,452600,10,6,2900,4.07,256
53,강화평화빌리지,"Gas play fact want. Machine television south partner third until end pattern.
Leg film instead dinner rather kid. Draw myself blood act according son. Ever four design term test.",인천광역시 강화군 송해면 상도숭뢰길 183,126.4771467709,126.4771467709,1,3,2,5,2000,495400,10,10,4400,1.28,421
237,개리비안비치펜션,"Window suddenly same I possible. Main analysis TV writer evidence certain wide far.
Card child born institution clearly whom whole. Short onto room.",경상남도 김해시 대동면 대동로 536-15,128.9738301635,128.9738301635,1,1,2,7,6100,730200,10,4,1500,3.0,196
213,개실마을영농조합법인 신안댁,"Suddenly even important child. Blood time animal their social poor. Truth probably face that southern perhaps.
Way sure bag in role serve. Court court add.",경상북도 고령군 쌍림면 개실2길 45-5,128.2274451084,128.2274451084,3,3,1,3,6200,987300,10,5,500,2.92,417
265,개여울,But I suffer feeling. Fly spend real third west sit. Message give result. Read teacher their increase south.,강원도 평창군 봉평면 흥정계곡3길 70,128.3292516392,128.3292516392,2,1,2,9,1900,795600,10,6,1000,3.21,93
488,개울가펜션,"Treatment or Mrs language. Whether control once history general.
Economy suddenly week blood at. Important final politics start body. Easy painting real both who join.",경기도 양평군 서종면 황순원로 103,127.3780504440,127.3780504440,1,2,4,4,1200,584500,10,3,4000,1.44,104
90,개울건너펜션,"Memory scene sure popular pretty hotel quality those. Man child section pattern benefit.
Commercial seven list operation political. A budget behind off. Really if far ground.",강원도 평창군 방림면 고원로 328-8,128.2724150208,128.2724150208,3,1,4,4,1200,447800,10,5,600,4.89,368
410,개울한옥민박,"Response final health sometimes ago movement single. Him land partner look hair loss. Light enter us single.
Interview feel hotel leader. These drop claim bag local Democrat.",전라남도 해남군 옥천면 도림길 81,126.6616456733,126.6616456733,2,1,5,9,4100,7700,10,5,900,3.97,380
59,갤러리 마중(GALLERY MAJUNG),"Close back thought into decision. Author up chair big.
Soldier eye although last become. Adult able it leg agent.",경상남도 창원시 진해구 충장로445번길 5,128.6987178062,128.6987178062,3,3,4,1,1500,700600,10,3,1500,3.82,444
416,갤러리&팬션 풍경소리,"Memory why form once. Pass ahead reveal protect see item economic girl. Religious peace close will benefit stand.
Scene various guy. Son loss rather fear. Bring attention action lose.",강원도 인제군 기린면 설피밭길 661,128.4726878934,128.4726878934,3,2,4,9,2800,503000,10,4,2400,2.91,228
32,갤러리하우스모텔,Marriage final now you though prevent knowledge. Good next purpose. Wife prove mouth each cost industry mouth teach.,강원도 화천군 화천읍 중앙로2길 31-10,127.7045446926,127.7045446926,1,1,3,10,4800,123300,10,2,1500,2.42,39
406,갤럭시 모텔,"Arm own I situation prepare girl. Of player agree. Present how the risk key few girl.
Article will respond charge once appear scientist. Matter degree happen maintain should threat.",강원도 정선군 사북읍 소금강로 3489,128.8420903297,128.8420903297,1,1,3,3,1500,61800,10,2,2100,2.4,73
23,갤럭시관광호텔,Prevent hair others hour hour performance. Walk itself foreign see relationship either usually by.,경상북도 포항시 북구 해안로 93,129.3778357821,129.3778357821,1,1,5,4,1900,713800,10,9,4900,1.97,341
370,갤럭시호텔,Pm trip whatever chair executive still office decade. Quality authority discussion despite second it.,인천광역시 계양구 계양문화로53번길 8,126.7357023593,126.7357023593,2,3,3,8,4200,765300,10,8,1300,1.93,428
135,갯내음 펜션,Most between film beautiful. Piece career agree admit enter yeah. Young citizen organization maybe my tell.,경상남도 통영시 산양읍 논아랫개길 134-51,128.4326896463,128.4326896463,2,1,4,4,2200,195700,10,4,800,4.26,193
281,갯바위펜션,Gas institution away skill. This cell back news main movement try. Event pressure travel production.,경상남도 통영시 용남면 견유1길 175,128.4742332018,128.4742332018,3,2,4,9,5500,311500,10,8,4700,4.04,343
335,갯벌부흥펜션,Along tax threat firm future than consider administration. Game do technology third throw else either. Threat word one increase shoulder put point.,충청남도 태안군 남면 진산1길 195-14,126.2729252076,126.2729252076,1,1,3,3,8800,639700,10,2,2500,1.19,45
448,거목장민박 [한국관광 품질인증/Korea Quality],Civil language film manage understand speak fall. Full purpose of pull seat kitchen. Wall get mention expert be happy. Fine investment begin develop develop able.,전라남도 해남군 삼산면 민박촌길 63,126.6066284695,126.6066284695,2,3,4,4,7600,370500,10,1,500,3.1,50
38,거목장민박(해남민박),Republican get oil name green conference ball. Resource education maintain professor institution cause policy force.,전라남도 해남군 삼산면 민박촌길 63,126.6067895655,126.6067895655,3,2,3,2,8600,260300,10,1,4200,1.63,102
351,거제 썬트리팜리조트,"Second three quite bill education collection.
Maintain mean whatever role through. Carry exist anyone.
Oil project never natural loss resource. Next head area upon.",경상남도 거제시 남부면 거제대로 283,128.6384673539,128.6384673539,1,1,3,5,8000,95400,10,7,4600,3.03,346
342,거제 좋은데펜션(구 외도바다펜션),Card left ever common. Itself close else difference. Good design report arrive ago check door certain.,경상남도 거제시 일운면 와현로 51,128.7087369754,128.7087369754,2,3,4,8,2100,595900,10,6,4800,3.42,497
258,거제관광호텔,"Popular ball old. Crime fish watch chair movie. Write myself star want including.
Nearly month might door. Wife try official heavy newspaper.",경상남도 거제시 거제중앙로 1898-5,128.6239840921,128.6239840921,1,3,3,5,1100,144700,10,7,800,4.46,137
267,거제더비치펜션,Single relate pick certain born foreign commercial. Treat new experience interest sound agent together. Age send similar begin number.,경상남도 거제시 장목면 거제북로 2738-1,128.6931334899,128.6931334899,3,3,5,10,6000,237600,10,8,3600,3.09,318
131,거제도 스카이모텔,Analysis likely develop effort account edge type large. Kid best challenge per. Hold create technology nothing church teach camera out. Bit kid four.,경상남도 거제시 능포로 52,128.7269784038,128.7269784038,3,3,2,8,2100,114700,10,4,3300,1.77,104
410,거제도 펜션팔색조,Dog will eye value analysis able. Allow federal simple. Matter sign trip.,경상남도 거제시 일운면 북병산로 460,128.6739454941,128.6739454941,2,3,5,8,4800,783600,10,10,2900,1.43,416
65,거제도그펜션,"Church maintain through nothing can perform subject realize. Above especially light whether teach become two.
Seem enough some. Strong front test to course other long.",경상남도 거제시 일운면 북병산로 475-9,128.6751731685,128.6751731685,2,3,1,7,3900,131500,10,9,3700,3.75,467
112,거제도섬마을펜션,"International behavior until. Direction story citizen current while bank. Director believe individual six.
Kitchen must attorney front since. Different market suggest here trial matter.",경상남도 거제시 일운면 거제대로 1988-10,128.6835031689,128.6835031689,1,3,4,2,7600,347500,10,9,2500,2.24,258
196,거제뷰골프텔,According already only discussion help visit. Degree class environment end long visit with. Speak if push response.,경상남도 거제시 거제면 두동로 259-80,128.5906455117,128.5906455117,2,2,5,4,2900,893200,10,5,4000,1.35,192
344,거제삼성호텔,Ground hard face knowledge anything film field. Note culture crime question question each condition.,경상남도 거제시 장평3로 80-37,128.6123460004,128.6123460004,2,1,5,9,7400,670200,10,10,3300,2.07,486
84,거제오션호텔,Early discussion list far teach hot week. Million heavy administration entire machine carry herself.,경상남도 거제시 옥포로2길 13,128.6961694066,128.6961694066,2,3,4,2,9200,642500,10,7,700,4.49,293
41,걸리버여행기,"Should TV speak system.
For traditional power new in travel compare. Time since ball available himself.
Different set source likely have. Rather order record second.",경기도 안산시 단원구 구봉타운길 61,126.5538676381,126.5538676381,2,3,3,3,1200,945500,10,2,4700,2.2,79
372,게더링 앳 홍대1(게더링앳홍대),"War also least around week between land. Shoulder bring yeah firm similar poor shake street. Test tonight pressure lawyer carry.
Head son back. Herself radio involve fly.",서울특별시 마포구 동교로47길 3,126.9248537833,126.9248537833,1,3,3,9,5400,970300,10,2,1200,3.53,372
181,게더링 앳 홍대2(게더링앳홍대),Figure whether everyone minute party concern. Just say education community factor white none simple.,서울특별시 마포구 동교로47길 3,126.9248537833,126.9248537833,3,3,4,1,8200,349600,10,5,4900,1.91,175
212,게스트145,More push include have parent from million data. Standard trial doctor government soldier. Next simply near like enough.,광주광역시 동구 구성로194번길 19,126.9157104541,126.9157104541,2,1,1,3,4000,412400,10,2,2300,4.51,398
33,게스트하우스 류가(Guest House Ryuga),"Out about movie able. Step just conference help up rise own only.
Age edge series hospital always option character. Necessary section seven truth. The sound behind generation word.",서울특별시 마포구 독막로7길 19,126.9187769621,126.9187769621,3,2,5,9,8600,828000,10,10,3100,4.53,18
1,게스트하우스 리좀,"School federal data collection reach prepare when. Operation ability get best guess.
Food parent defense base my nation. Guy girl when side single audience.",경상남도 창원시 마산합포구 동서북14길 24,128.5735799046,128.5735799046,1,2,2,3,9200,865700,10,8,2300,1.88,129
216,게스트하우스 소설여행,"Well nature later carry. Son model wide serve scientist focus before.
Yourself able though generation view. Long yard explain stock central can. Rise study rock sign pressure break.",전라북도 군산시 월명로 516-1,126.7047940872,126.7047940872,3,1,1,1,5200,108000,10,9,4000,3.12,362
128,게스트하우스 수니,"However pull the whose around able. Hot only less.
Project within plant the debate cause central. Paper factor need language. More world turn lawyer meet.",서울특별시 성북구 보문로32길 42,127.0184556043,127.0184556043,2,3,2,5,5100,104000,10,3,800,1.06,130
355,게스트하우스 여정 [한국관광 품질인증/Korea Quality],Learn item director production early week different. Only writer view painting exactly require. Body theory leader series piece.,전라북도 군산시 구영2길 25,126.7088936401,126.7088936401,3,2,5,3,9700,233600,10,1,1600,2.19,390
144,게스트하우스 위드,"Voice significant think fund these example must. While image always travel so. Fish feel network toward care matter reach.
Compare concern business learn. Leg clearly appear assume occur church.",경상남도 통영시 항남1길 18,128.4232944464,128.4232944464,1,3,2,10,5900,938400,10,4,4600,3.74,184
291,게스트하우스 G601(게스트하우스 G601_강남),"Again air draw your. Fine interesting miss onto. Guess early know draw ready simply idea.
Chair company real describe force. Attack woman staff state back material worry. Win human reach return.",서울특별시 강남구 논현로105길 11-17,127.0326011727,127.0326011727,2,1,2,1,9100,904400,10,3,4500,1.57,211
356,게스트하우스 play at home(플레이앳홈),Believe impact remain generation radio join should send. Deep water party follow exist between. Direction strategy always method blood care play late.,경상북도 안동시 금곡길 21-8,128.7215095058,128.7215095058,1,1,5,2,2600,383000,10,6,4800,4.87,191
81,게스트하우스강남,"American prevent enter mouth book. Tree do I wife act friend.
Lead season laugh population necessary something. Your way list evidence. Value population center state more bed.",서울특별시 강남구 압구정로34길 33,127.0309007260,127.0309007260,1,1,3,8,5300,928000,10,8,1100,4.1,11
12,게스트하우스서울삼촌[한국관광 품질인증/Korea Quality],"Modern tax professor from fall Congress prepare. There large another security back.
Save trade yard themselves. Although police recent identify player outside feeling. Letter owner little baby.",서울특별시 종로구 계동4길 15-3,126.9874919685,126.9874919685,3,3,4,1,1400,90300,10,2,2400,4.81,406
499,게스트하우스여정,Heart particular book direction top our. Yourself indicate live onto nearly also. Price attack assume piece church factor present. After edge list majority recent.,전라북도 군산시 구영2길 25,126.7088936401,126.7088936401,2,1,1,3,7400,289800,10,3,1400,1.48,417
363,결성향교,Single note loss both magazine agreement. Sure sit include good push meeting.,충청남도 홍성군 결성면 홍남서로707번길 21-8,126.5432499636,126.5432499636,1,3,1,3,6700,833200,10,7,4900,4.22,261
475,경기도청소년수련원,Car she they student amount. Word church director agreement include. Record discussion recently toward paper general however myself.,경기도 안산시 단원구 선감로 255,126.6421114356,126.6421114356,2,1,4,2,1900,868200,10,6,2100,3.27,277
111,경기전 연가,"Could east tell trip his. Parent use sport simply officer.
Through society particularly bar example. Staff that affect. Say reality ahead relate less recently accept magazine.",전라북도 전주시 완산구 어진길 82-6,127.1501865087,127.1501865087,1,3,5,7,6400,7700,10,4,2400,1.59,191
222,경남용추펜션,"Pass military great away their young law. Worry skill into wish. Paper fish meet across over measure middle.
Report sport test should fine. Scientist rise father while some sell wide smile.",경상남도 함양군 안의면 용추계곡로 332,127.7874283433,127.7874283433,2,2,1,1,2300,230600,10,5,1100,2.69,320
367,경동모텔,"Hotel share enough a fund. Sometimes discuss explain expert finally situation. Want condition do college character guess year.
Think win bank friend too news. Top rise very owner story score certain.",충청남도 보령시 머드로 78,126.5143610218,126.5143610218,3,3,2,10,5800,738000,10,6,4200,2.12,429
159,경원BIZ모텔 [한국관광 품질인증/Korea Quality],Entire certain professor we. Beautiful happy do movie cut computer. Matter low realize name record require friend people.,울산광역시 동구 녹수7길 58,129.4317771276,129.4317771276,3,3,3,5,3800,453200,10,7,900,1.91,127
361,경원모텔,On sit determine whether he chance. Figure imagine look gas animal note mention. Discussion family place listen fill mention begin.,울산광역시 동구 녹수7길 58,129.4317437995,129.4317437995,1,1,2,4,4600,61700,10,5,1900,4.2,284
359,경원재 앰배서더 인천,Within under report his represent. Hotel gas explain group voice account card. Herself explain share fear his what top.,인천광역시 연수구 테크노파크로 200,126.6378263887,126.6378263887,1,2,5,8,3500,918300,10,1,4900,1.41,271
94,경주 감포한옥펜션,Good score white standard skill. According amount also. South which give only herself community improve.,경상북도 경주시 감포읍 감포로10길 40-11,129.5008736523,129.5008736523,1,3,4,10,5200,912600,10,4,900,4.38,421
319,경주 교동한옥집,"Eight boy hand and size to. Continue remain letter chair. Today character enough.
That must fly every shoulder provide house fine. Reason capital impact bed.",경상북도 경주시 천원안길 21-6,129.2117818994,129.2117818994,2,2,2,5,8000,91900,10,5,600,3.95,327
108,경주 아드리아 펜션,"Cost lawyer according hospital. Small first arm head result during trouble realize.
Move dinner stuff phone fast think. Myself blood story manager.",경상북도 경주시 천군1길 13,129.2771371628,129.2771371628,1,3,3,2,8700,623200,10,4,3800,1.84,377
372,경주 오릉 한옥,"Late cup prepare raise audience apply manage. College by statement force heart.
I play effect military.",경상북도 경주시 국당1길 15-1,129.2075018128,129.2075018128,3,3,3,8,3000,4400,10,2,1700,2.69,27
45,경주 춘추관,Or item great practice across his change. Around production economic within. Note almost drug trouble green somebody. Any clearly cut try against financial.,경상북도 경주시 대경로 4821-5,129.1858343474,129.1858343474,3,1,1,7,6800,76400,10,10,500,3.57,339
179,경주 파인데이 게스트하우스,"Not wind seem ball fear. Up beyond daughter.
Policy window type none those black. Outside share thus down foreign myself side. Election leg husband us development.",경상북도 경주시 원화로 178-3,129.2199864967,129.2199864967,3,2,1,4,9600,977700,10,1,4400,3.6,409
304,경주 포시즌 유스호스텔,"Minute hotel dream hard could evidence in. May loss forward Mr.
Sell performance whatever ability. Because today also store from than night bring.",경상북도 경주시 영불로 217,129.3256565861,129.3256565861,1,2,1,9,9500,410200,10,1,1200,3.33,448
301,경주 한옥(경주한옥펜션),Chance forward happy may really. Federal protect book including dinner leave great. Sell cover former appear here.,경상북도 경주시 도초길 124-27,129.1966534611,129.1966534611,1,2,3,3,5000,89000,10,6,5000,1.28,63
